document_id,clean_text,sentiment
0,rambo mesh crouch tiger musicalsay whaaaatiquin septemb bet youd never think mashup heavyhand rambo mystic stun eleg crouch tiger would work especi mix sever music number think would wrong movi top everi way pure awesom even hour runtim engross great stori thorough charact develop young nativ girl effect purchas mean british govern control peopl malli presum india small tribe belong talent fighter stop absolut noth get back british govern also indian soldier equal skill dwarf soldier youll see spectacular open scene two skill fighter clash come togeth heritag root duti one hold true armi work movi blew away ive never seen special effect quit like plethora frame could use sweet poster movi produc smart edit cinematographi choreographi modern must see found helpfulwa review helpfulsign votepermalink,positive
1,best superhero movi yearsjeremy_urquhart juli tri review without compar anyth directli realli compar action blockbust disappoint recent say largescal bigbudget action movi right hollywood isnt incap make movi deliv excit emot mani pale comparison rrr without point movi particular dont know what directli compar hollywood take notesrrr mani familiar trope beat get histor epicsact movi use trope well thing weve seen onscreen dozen time still excit entertain theyr use properli rrr testament thatth amaz action probabl stand core film also realli good stori hero want see win villain want see defeat there extra conflict two main hero much movi ultim good v evil stori that pretti straightforward honest thank great charact strong perform end enoughther littl way slow scene dead air anoth reason three hour runtim fli action good complain lacklustr action modern action movi lot realli happi find rrr action well amaz stunt great setup big set piec scene level brutal make feel impact combat much feel gratuit way make thing overthetop best way possibl point feel like rule consequ good guy two main hero almost superhero arguabl make rrr best superhero film yearsexcel stuff coupl lesser perform minor charact occasion clunki english dialogu british charact could criticis theyr nitpick great action movi epic warrant three hour runtim found helpfulwa review helpfulsign votepermalink,negative
2,weirdli spectacularjeandemichaqu septemb push play realli believ would ever watch whole movi want take look bail itwel wrong movi freaken masterpiec combin extraordinari drama stun stunt action great photographi absolut beauti music given bollywood movi know go watch pretti ridicul action scene overal cheesi direct dialogu act wont exactli oscar worthi none made enjoy movi time pas easili end realli great timeth eye candi ram charan made movi even watch worthi particular one ridicul handsom man say p found helpfulwa review helpfulsign votepermalink,positive
3,wish couldv seen theatermatthewssilverhamm august offici zero reason watch gray man notsosemisubtl homoerot netflix action epic need tightrop walk complet silli beauti sincer entertain valu drip everi color pore insan action envelop dialogu sprawl yet intim storytel elabor danc yep admittedli unfamiliar tone may bit much prepar hard deni bravura moviemak dare fun found helpfulwa review helpfulsign votepermalink,negative
4,wowowenpont june incred film never heard film netflix brought saw clip movi decid look pretti good watch glad danc scene parti incred arguabl scene best scene film also first scene ram charan take mob peopl pretti awesom watch well overal definit one best film year combin action comedi romanc danc great storytel found helpfulwa review helpfulsign votepermalink,negative
5,american everyth modern star war marvel beendark_lord_mark juli long stori short word mouth happen peopl includ heard movi areit friendship honor want well everyth star war prequel everyth marvel beenthi movi men super human suspens belief need view super hero movi deliversplot men hero anti hero one duti one familyit action movi think aveng civil war batman v superman modern american movi overus cgi make movi look cheap rrr cgi place look littl cheap modern big budget film deliversi give expect low amaz action scene film well act top hero moment well donehighli recommend must see found helpfulwa review helpfulsign votepermalink,neutral
6,rous rampag revolutionaryxst decemb strike recent time mani film come tradit western studio lay claim spectacular yet whenev ventur studio india array languag innov stori rich gorg upon seldom short extens quit often spectacular one film jaw drop piec good old patriot prowess rip three hour leav desper three read review other want know stori take overwhelm entertain spectacl grandest way set fire par anyth may come across past sure replay mani time get hook sure irresist found helpfulwa review helpfulsign votepermalink,positive
7,s rajamouli deliv power pack action entertain made big screen cs_rahul_kumar march last time director s rajamouli manag wow audienc film baahubali conclus took long year conceptualis next film rrr shoot bring silver screen pull multistarr jr ntr ram charan lead role might seem accomplish rajamouli manag deliv even come storyrrr set revolv around live two revolutionari alluri seetharama raju wage arm campaign british komaram bheem tribal gond tribe fought atroc heap peopl histor evid show two ever met fought togeth rajamouli reimagin histori weav stori around meetingrrr run rel simpl premis there fire angri young polic offic ramaraju ram charan rever fear british done everi bid year one sic anyon want captur yet one who never given enough respect due colour skin there water sweet simpl innoc bheem jr ntr brute strength use serv purpos he gond tribal come citi rescu young girl call malli taken away ladi scott alison doodi sing doll mantelpiec begin talerajamouli new call card seem build new world despit base two revolutionari histori rrr stori that complet fiction delhi becom new canva bheem might fought nizam much one find imper warn british he taken lightli also find shelter muslim delhi ramaraju might seem like welltrain soldier follow instruct blindli also seem past one uncl samuthirakani know scott ray stevenson might believ brown rubbish deserv even bullet wast jennif olivia morri seem empathet freedom movement turn cheek one use hand weaponsth first half rrr run like clockwork there emot core malli there song danc naatu naatu itll make smile friendship explor dosti there even laugh whenev bheem tri befriend jennif cinemat liberti taken dont seem notic later portion half film falter bit way ramaraju fiancé sita alia bhatt woven narr apart ram charan transform anoth look also seem forc tale smooth sail way bheem set effortlessli despit noth much told way ramaraju stori unfold seem strain climax leav desir good thing howev film manag surpris rajamouli also manag use certain trope set initi portion film latter portion cleverlynonetheless rajamouli manag pull someth peopl pine commerci action drama keep thoroughli entertain length also doesnt prove hindranc thank tight screenplay vfx certain portion couldv better jr ntr pull career best perform he charm bheem especi emot bit desper find malli come well love ramaraju ram charan also well pour soul transform charact goe tarak charan role requir chemistri alia bhatt olivia morri samuthirakani ajay devgn shriya saran other play part well olivia particular manag win heart alison ray breez role keeravani ost film might everyon well bgm senthil camerawork delight toorrr made big screen view cinematographi visual aesthet paint everi frame radiat manner oodl flamboy someth one come expect rajamouli background score thud relentless urgenc repetit unapologet melodramat quit smitten numb u submiss postinterv pace falter littl pleasur dwindl toorrr perfect mean way rajamouli pull certain scene wonder couldv done better job other watch one weekend youv long good action pack drama especi your fan lead duo found helpfulwa review helpfulsign votepermalink,neutral
8,probabl brutal violent pg plu danc battlequinoa april total militarist propaganda scale immens scope david lean bloodi brutalist mel gibson certainli nowher near subtl former well duh kid also manag raptur stupid gruesom violenc anyth latter would wife also point zack snyder far superior visa vi here man someth say loud slow mo concur point dont like british peopl boy girl got smorgasbord f brit alright there one good ladi onebut experienc minut rrr truli final peppi total disson music number includ run time go eat buffet go leav like hour somber power war movi gritti run jungl slaughter fest cornbal treatis friendship time liter fieri call arm british coloni power sliver romanc good measur bheem five ten minut deliri excit step danceoff movi exhaust crude time laughabl cgi anim oh absolut blast know your two hero first meet bridg surround fire your leav dont come backi know histor accur lol need accuraci exploitationmet need break glass becom superhero bent save everyon gun glorious crazi total sincer oh ray stevenson perform career aamir khan star easi found helpfulwa review helpfulsign votepermalink,positive
9,movi end like complet festiv celebrationmramanan march rate languag telugu medium partner zee sourc nil highli recommendedmovi start two hero introduct like full meal satisfactionr trailer shown movi much action block goosebump moment movi real doubl treat mass moment also doubl dual hero naattu song cherri top whole theatr goe mad one interv block action sequenc real jaw drop one even though guess one cant guess scalesecond half start bit slow flashback pick peak immedi second half sentiment screen space rc rc outshin ntr lot place action block graviti defi enjoy credit janta song cameo rajamouli movi end like complet festiv celebrationexceed expect aspect found helpfulwa review helpfulsign votepermalink,positive
